,pagecount_desktop_views,year,month,pagecount_mobile_views,pagecount_all_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views
0,2998331524.0,2007,12,,2998331524.0,,,
1,4930902570.0,2008,01,,4930902570.0,,,
2,4818393763.0,2008,02,,4818393763.0,,,
3,4955405809.0,2008,03,,4955405809.0,,,
4,5159162183.0,2008,04,,5159162183.0,,,
5,5584691092.0,2008,05,,5584691092.0,,,
6,5712104279.0,2008,06,,5712104279.0,,,
7,5306302874.0,2008,07,,5306302874.0,,,
8,5140155519.0,2008,08,,5140155519.0,,,
9,5479533823.0,2008,09,,5479533823.0,,,
10,5679440782.0,2008,10,,5679440782.0,,,
11,5415832071.0,2008,11,,5415832071.0,,,
12,5211708451.0,2008,12,,5211708451.0,,,
13,5802681551.0,2009,01,,5802681551.0,,,
14,5547320860.0,2009,02,,5547320860.0,,,
15,6295159057.0,2009,03,,6295159057.0,,,
16,5988817321.0,2009,04,,5988817321.0,,,
17,6267516733.0,2009,05,,6267516733.0,,,
18,5818924182.0,2009,06,,5818924182.0,,,
19,5801646978.0,2009,07,,5801646978.0,,,
20,5790850384.0,2009,08,,5790850384.0,,,
21,4057515768.0,2009,09,,4057515768.0,,,
22,6016107147.0,2009,10,,6016107147.0,,,
23,5768486910.0,2009,11,,5768486910.0,,,
24,5426505977.0,2009,12,,5426505977.0,,,
25,5703465285.0,2010,01,,5703465285.0,,,
26,5762451418.0,2010,02,,5762451418.0,,,
27,6661347946.0,2010,03,,6661347946.0,,,
28,6618552152.0,2010,04,,6618552152.0,,,
29,6410578775.0,2010,05,,6410578775.0,,,
30,4898035014.0,2010,06,,4898035014.0,,,
31,5296177638.0,2010,07,,5296177638.0,,,
32,7381346660.0,2010,08,,7381346660.0,,,
33,7546488744.0,2010,09,,7546488744.0,,,
34,10172844562.0,2010,10,,10172844562.0,,,
35,6948678354.0,2010,11,,6948678354.0,,,
36,7001952100.0,2010,12,,7001952100.0,,,
37,7568511227.0,2011,01,,7568511227.0,,,
38,6906248849.0,2011,02,,6906248849.0,,,
39,7326545928.0,2011,03,,7326545928.0,,,
40,6835492088.0,2011,04,,6835492088.0,,,
41,7009799378.0,2011,05,,7009799378.0,,,
42,6536675534.0,2011,06,,6536675534.0,,,
43,6571730164.0,2011,07,,6571730164.0,,,
44,6514500361.0,2011,08,,6514500361.0,,,
45,5837738935.0,2011,09,,5837738935.0,,,
46,6974424665.0,2011,10,,6974424665.0,,,
47,7507641641.0,2011,11,,7507641641.0,,,
48,6396357939.0,2011,12,,6396357939.0,,,
49,7808477339.0,2012,01,,7808477339.0,,,
50,7530127141.0,2012,02,,7530127141.0,,,
51,7358543625.0,2012,03,,7358543625.0,,,
52,7220029422.0,2012,04,,7220029422.0,,,
53,7784479302.0,2012,05,,7784479302.0,,,
54,7524265988.0,2012,06,,7524265988.0,,,
55,7819376527.0,2012,07,,7819376527.0,,,
56,7885641059.0,2012,08,,7885641059.0,,,
57,7913689733.0,2012,09,,7913689733.0,,,
58,8379960050.0,2012,10,,8379960050.0,,,
59,8219987195.0,2012,11,,8219987195.0,,,
60,8033826900.0,2012,12,,8033826900.0,,,
61,9126210673.0,2013,01,,9126210673.0,,,
62,8100597857.0,2013,02,,8100597857.0,,,
63,8701419671.0,2013,03,,8701419671.0,,,
64,8049296729.0,2013,04,,8049296729.0,,,
65,8089099883.0,2013,05,,8089099883.0,,,
66,7759959725.0,2013,06,,7759959725.0,,,
67,8237301982.0,2013,07,,8237301982.0,,,
68,9306122925.0,2013,08,,9306122925.0,,,
69,9985326806.0,2013,09,,9985326806.0,,,
70,10775158269.0,2013,10,,10775158269.0,,,
71,10414877805.0,2013,11,,10414877805.0,,,
72,7102459747.0,2013,12,,7102459747.0,,,
73,7026531269.0,2014,01,,7026531269.0,,,
74,6718243109.0,2014,02,,6718243109.0,,,
75,7464128273.0,2014,03,,7464128273.0,,,
76,7216245221.0,2014,04,,7216245221.0,,,
77,7543277646.0,2014,05,,7543277646.0,,,
78,6577352648.0,2014,06,,6577352648.0,,,
79,6761059566.0,2014,07,,6761059566.0,,,
80,6687313714.0,2014,08,,6687313714.0,,,
81,7564600999.0,2014,09,,7564600999.0,,,
82,6577533128.0,2014,10,3091546685.0,9669079813.0,,,
83,6153537606.0,2014,11,3027489668.0,9181027274.0,,,
84,5830332248.0,2014,12,3278950021.0,9109282269.0,,,
85,6103767055.0,2015,01,3485302091.0,9589069146.0,,,
86,5602710439.0,2015,02,3091534479.0,8694244918.0,,,
87,6346602713.0,2015,03,3330832588.0,9677435301.0,,,
88,6198945657.0,2015,04,3222089917.0,9421035574.0,,,
89,6323801814.0,2015,05,3334069483.0,9657871297.0,,,
90,5165413640.0,2015,06,3038162463.0,8203576103.0,,,
91,5229226022.0,2015,07,3254472695.0,8483698717.0,3288755294.0,4376666686.0,7665421980.0
92,5035534449.0,2015,08,3268487582.0,8304022031.0,3302333038.0,4332482183.0,7634815221.0
93,5409631355.0,2015,09,3172429827.0,8582061182.0,3170203333.0,4485491704.0,7655695037.0
94,5535704471.0,2015,10,3246082505.0,8781786976.0,3268499132.0,4477532755.0,7746031887.0
95,5296956116.0,2015,11,3218234512.0,8515190628.0,3236601070.0,4287720220.0,7524321290.0
96,5264446173.0,2015,12,3387411863.0,8651858036.0,3376275307.0,4100012037.0,7476287344.0
97,5569632502.0,2016,01,3739628742.0,9309261244.0,3717836846.0,4436179457.0,8154016303.0
98,5347709361.0,2016,02,3333231392.0,8680940753.0,3334862272.0,4250997185.0,7585859457.0
99,5407676056.0,2016,03,3419853636.0,8827529692.0,3386684191.0,4286590426.0,7673274617.0
100,5572235399.0,2016,04,3301385124.0,8873620523.0,3258764002.0,4149383857.0,7408147859.0
101,5330532334.0,2016,05,3418435805.0,8748968139.0,3395033236.0,4191778094.0,7586811330.0
102,4975092447.0,2016,06,3372618063.0,8347710510.0,3354790945.0,3888839711.0,7243630656.0
103,5363966439.0,2016,07,3500661121.0,8864627560.0,3496573762.0,4337865827.0,7834439589.0
104,,2016,08,,,3515819303.0,4695046216.0,8210865519.0
105,,2016,09,,,3393285781.0,4135006498.0,7528292279.0
106,,2016,10,,,3509283891.0,4361737690.0,7871021581.0
107,,2016,11,,,3591044925.0,4392068236.0,7983113161.0
108,,2016,12,,,3776543855.0,4209608578.0,7986152433.0
109,,2017,01,,,4231961542.0,4521980398.0,8753941940.0
110,,2017,02,,,3711761399.0,4026702163.0,7738463562.0
111,,2017,03,,,3903493989.0,4319971902.0,8223465891.0
112,,2017,04,,,3639623119.0,3951456992.0,7591080111.0
113,,2017,05,,,3686687720.0,4187870579.0,7874558299.0
114,,2017,06,,,3519383193.0,3604550997.0,7123934190.0
115,,2017,07,,,3725059253.0,3565444544.0,7290503797.0
116,,2017,08,,,3621406302.0,3575572313.0,7196978615.0
117,,2017,09,,,3531604369.0,3547447892.0,7079052261.0
118,,2017,10,,,3673120542.0,3907651639.0,7580772181.0
119,,2017,11,,,3670012061.0,3816060923.0,7486072984.0
120,,2017,12,,,3830136304.0,3640391096.0,7470527400.0
121,,2018,01,,,4259282371.0,4111833689.0,8371116060.0
122,,2018,02,,,3725680728.0,3634653694.0,7360334422.0
123,,2018,03,,,4049874257.0,3965271925.0,8015146182.0
124,,2018,04,,,3927398111.0,3762955419.0,7690353530.0
125,,2018,05,,,4089188522.0,3675652396.0,7764840918.0
126,,2018,06,,,3977766741.0,3278649434.0,7256416175.0
127,,2018,07,,,4266113752.0,3457051589.0,7723165341.0
128,,2018,08,,,4187362161.0,3399130789.0,7586492950.0
129,,2018,09,,,3977120244.0,3433832231.0,7410952475.0
130,,2018,10,,,4073789753.0,3640606578.0,7714396331.0
131,,2018,11,,,4033380040.0,3448616562.0,7481996602.0
132,,2018,12,,,4289054166.0,3379686909.0,7668741075.0
133,,2019,01,,,4597597181.0,3616017826.0,8213615007.0
134,,2019,02,,,4018109995.0,3244921935.0,7263031930.0
135,,2019,03,,,4407290322.0,3439386600.0,7846676922.0
136,,2019,04,,,4261664166.0,3330234244.0,7591898410.0
137,,2019,05,,,4413766230.0,3364959217.0,7778725447.0
138,,2019,06,,,4285985271.0,2986618238.0,7272603509.0
139,,2019,07,,,4557266440.0,3140657554.0,7697923994.0
140,,2019,08,,,4531756543.0,2979881198.0,7511637741.0
141,,2019,09,,,4437958209.0,3061362632.0,7499320841.0
142,,2019,10,,,4506591862.0,3588403486.0,8094995348.0
143,,2019,11,,,4471241664.0,3252465442.0,7723707106.0
144,,2019,12,,,4554269292.0,3097051994.0,7651321286.0
145,,2020,01,,,4832149630.0,3440480235.0,8272629865.0
146,,2020,02,,,4418801212.0,3176520359.0,7595321571.0
147,,2020,03,,,4686270555.0,3412498274.0,8098768829.0
148,,2020,04,,,5505741941.0,3798372613.0,9304114554.0
149,,2020,05,,,5231700095.0,3078093615.0,8309793710.0
150,,2020,06,,,4573975256.0,2721328557.0,7295303813.0
151,,2020,07,,,4809714465.0,2638936132.0,7448650597.0
152,,2020,08,,,4803308661.0,2613058239.0,7416366900.0
